DS1 - mt_genome_CM029732 - xs 
PROGRAM	BYTES	C_BYTES	BPS	C_TIME (s)	C_MEM (GB)	D_TIME (s)	D_MEM (GB)	DIFF	RUN
GeCo2	15090	3805	2.017	0.000	0.051	0.000	0.050	0	0
GeCo2	15090	3641	1.930	0.000	0.089	0.000	0.088	0	1
GeCo2	15090	3641	1.930	0.000	0.106	0.000	0.106	0	2
GeCo2	15090	3641	1.930	5.000	1.783	5.000	1.783	0	3
GeCo2	15090	3641	1.930	0.000	0.002	5.000	1.783	0	4
GeCo3	15090	3641	1.930	0.000	0.002	0.000	0.002	0	5
GeCo3	15090	3641	1.930	0.000	0.002	0.000	0.002	0	6
GeCo3	15090	3641	1.930	0.000	0.002	0.000	0.002	0	7
GeCo3	15090	3641	1.930	0.000	0.002	0.000	0.002	0	8
GeCo3	15090	3641	1.930	0.000	0.002	0.000	0.002	0	9
GeCo3	15090	3641	1.930	0.000	0.002	0.000	0.002	0	10
GeCo3	15090	3641	1.930	0.000	0.002	0.000	0.002	0	11
GeCo3	15090	3641	1.930	0.000	0.002	0.000	0.002	0	12
JARVIS1	15090	3615	1.916	0.000	0.068	0.000	0.068	0	13
JARVIS1	15090	3729	1.976	0.000	0.068	0.000	0.068	0	14
JARVIS1	15090	3805	2.017	0.000	0.071	0.000	0.071	0	15
JARVIS1	15090	3808	2.018	0.000	0.320	0.000	0.320	0	16
JARVIS1	15090	3797	2.012	0.000	0.285	0.000	0.285	0	17
JARVIS1	15090	3688	1.955	0.000	0.067	0.000	0.067	0	18
NAF	15281	3675	1.923	0.000	0.002	0.000	0.001	1	19
NAF	15281	3755	1.965	0.000	0.017	0.000	0.001	1	20
NAF	15281	3744	1.960	0.000	0.061	0.000	0.001	1	21
NAF	15281	3745	1.960	0.000	0.315	0.000	0.001	1	22
NAF	15281	3690	1.931	1.000	0.786	0.000	0.001	1	23
NAF	15281	3690	1.931	4.000	3.169	0.000	0.001	1	24
PAQ8	15090	3610	1.913	0.000	0.038	0.000	0.038	0	30
JARVIS2_BIN	15090	3604	1.910	0.000	0.087	0.000	0.087	0	31
JARVIS2_BIN	15090	3600	1.908	0.000	0.087	0.000	0.087	0	32
JARVIS2_BIN	15090	3620	1.919	0.000	0.173	0.000	0.173	0	33
JARVIS2_BIN	15090	3625	1.921	0.000	0.193	0.000	0.193	0	34
JARVIS2_BIN	15090	3624	1.921	0.000	0.173	0.000	0.173	0	35
JARVIS2_BIN	15090	3622	1.920	0.000	0.144	0.000	0.144	0	36
JARVIS2_BIN	15090	3602	1.909	0.000	0.086	0.000	0.086	0	37
JARVIS2_BIN	15090	3619	1.918	0.000	0.144	0.000	0.144	0	38
JARVIS2_BIN	15090	3642	1.930	0.000	0.217	0.000	0.216	0	39
JARVIS2_BIN	15090	3614	1.915	0.000	0.144	0.000	0.144	0	40
JARVIS3_BIN	15090	3825	2.027	0.000	0.043	0.000	0.043	0	41
JARVIS3_BIN	15090	3821	2.025	0.000	0.053	0.000	0.053	0	42
JARVIS3_BIN	15090	3650	1.935	0.000	0.043	0.000	0.043	0	43
JARVIS3_BIN	15090	3683	1.952	0.000	0.050	0.000	0.050	0	44
JARVIS3_BIN	15090	3629	1.923	0.000	0.090	0.000	0.090	0	45
JARVIS3_BIN	15090	3718	1.971	0.000	0.153	0.000	0.153	0	46
JARVIS3_BIN	15090	3752	1.989	1.000	0.276	1.000	0.275	0	47
JARVIS2_SH	15090	10240	5.428	0.000	0.001	0.000	0.004	0	49
JARVIS2_SH	15090	10240	5.428	0.000	0.001	0.000	0.004	0	50
JARVIS2_SH	15090	10240	5.428	0.000	0.001	0.000	0.004	0	51
JARVIS2_SH	15090	10240	5.428	0.000	0.001	0.000	0.004	0	52
JARVIS3_SH	15090	10240	5.428	0.000	0.046	0.000	0.004	0	52
JARVIS3_SH	15090	10240	5.428	0.000	0.043	0.000	0.004	0	53
JARVIS3_SH	15090	10240	5.428	0.000	0.053	0.000	0.004	0	54
JARVIS3_SH	15090	10240	5.428	0.000	0.043	0.000	0.004	0	55
JARVIS3_SH	15090	10240	5.428	0.000	0.050	0.000	0.004	0	56
JARVIS3_SH	15090	10240	5.428	0.000	0.090	0.000	0.004	0	57
JARVIS3_SH	15090	10240	5.428	0.000	0.153	0.000	0.004	0	58
JARVIS3_SH	15090	10240	5.428	1.000	0.276	0.000	0.004	0	59
LZMA	15090	4304	2.281	0.000	0.003	0.000	0.002	0	60
BZIP2	15090	4151	2.200	0.000	0.002	0.000	0.002	0	61
BSC-m03	15090	3716	1.970	0.000	0.005	0.000	0.004	0	62
BSC-m03	15090	3716	1.970	0.000	0.005	0.000	0.004	0	63
BSC-m03	15090	3716	1.970	0.000	0.005	0.000	0.004	0	64
MFC	15094	3886	2.059	0.000	0.089	0.000	0.088	0	65
MFC	15094	3765	1.995	0.000	0.090	0.000	0.089	0	66
MFC	15094	3818	2.023	0.000	0.158	0.000	0.157	0	67
DMcompress	15094	3706	1.964	0.000	0.107	0.000	0.106	0	68
DS2 - Aldabrachelys_gigantea_mitochondrial_genome - xs 
PROGRAM	BYTES	C_BYTES	BPS	C_TIME (s)	C_MEM (GB)	D_TIME (s)	D_MEM (GB)	DIFF	RUN
GeCo2	16467	4144	2.013	0.000	0.055	0.000	0.055	0	71
GeCo2	16467	3991	1.938	0.000	0.102	0.000	0.102	0	72
GeCo2	16467	3991	1.938	0.000	0.119	0.000	0.119	0	73
GeCo2	16467	3992	1.939	5.000	1.783	5.000	1.783	0	74
GeCo2	16467	3992	1.939	0.000	0.002	5.000	1.783	0	75
GeCo3	16467	3992	1.939	0.000	0.002	0.000	0.002	0	76
GeCo3	16467	3992	1.939	0.000	0.002	0.000	0.002	0	77
GeCo3	16467	3992	1.939	0.000	0.002	0.000	0.002	0	78
GeCo3	16467	3992	1.939	0.000	0.002	0.000	0.002	0	79
GeCo3	16467	3992	1.939	0.000	0.002	0.000	0.002	0	80
GeCo3	16467	3992	1.939	0.000	0.002	0.000	0.002	0	81
GeCo3	16467	3992	1.939	0.000	0.002	0.000	0.002	0	82
GeCo3	16467	3992	1.939	0.000	0.002	0.000	0.002	0	83
JARVIS1	16467	4063	1.973	0.000	0.072	0.000	0.072	0	84
JARVIS1	16467	4098	1.990	0.000	0.072	0.000	0.072	0	85
JARVIS1	16467	4158	2.020	0.000	0.076	0.000	0.076	0	86
JARVIS1	16467	4156	2.019	0.000	0.346	0.000	0.346	0	87
JARVIS1	16467	4137	2.009	0.000	0.307	0.000	0.307	0	88
JARVIS1	16467	4078	1.981	0.000	0.071	0.000	0.071	0	89
NAF	16675	4085	1.959	0.000	0.002	0.000	0.001	1	90
NAF	16675	4134	1.983	0.000	0.017	0.000	0.001	1	91
NAF	16675	4120	1.976	0.000	0.061	0.000	0.001	1	92
NAF	16675	4121	1.977	0.000	0.315	0.000	0.001	1	93
NAF	16675	4096	1.965	1.000	0.786	0.000	0.001	1	94
NAF	16675	4096	1.965	4.000	3.169	0.000	0.001	1	95
PAQ8	16467	3992	1.939	0.000	0.038	0.000	0.038	0	101
JARVIS2_BIN	16467	3993	1.939	0.000	0.091	0.000	0.091	0	102
JARVIS2_BIN	16467	3979	1.933	0.000	0.092	0.000	0.091	0	103
JARVIS2_BIN	16467	4002	1.944	0.000	0.191	0.000	0.191	0	104
JARVIS2_BIN	16467	4009	1.947	0.000	0.212	0.000	0.212	0	105
JARVIS2_BIN	16467	3999	1.942	0.000	0.191	0.000	0.191	0	106
JARVIS2_BIN	16467	4002	1.944	0.000	0.158	0.000	0.158	0	107
JARVIS2_BIN	16467	3989	1.937	0.000	0.091	0.000	0.091	0	108
JARVIS2_BIN	16467	4006	1.946	0.000	0.157	0.000	0.157	0	109
JARVIS2_BIN	16467	4022	1.953	0.000	0.236	0.000	0.236	0	110
JARVIS2_BIN	16467	3999	1.942	0.000	0.158	0.000	0.158	0	111
JARVIS3_BIN	16467	4162	2.021	0.000	0.046	0.000	0.046	0	112
JARVIS3_BIN	16467	4158	2.020	0.000	0.058	0.000	0.058	0	113
JARVIS3_BIN	16467	3999	1.942	0.000	0.047	0.000	0.046	0	114
JARVIS3_BIN	16467	4024	1.954	0.000	0.054	0.000	0.054	0	115
JARVIS3_BIN	16467	4009	1.947	0.000	0.099	0.000	0.099	0	116
JARVIS3_BIN	16467	4095	1.989	1.000	0.171	1.000	0.171	0	117
JARVIS3_BIN	16467	4131	2.006	1.000	0.304	1.000	0.303	0	118
JARVIS2_SH	16467	10240	4.974	0.000	0.001	0.000	0.004	0	120
